height,weight,age,male
117.983,24.097075,13,0
144.145,33.906002,34,0
92.71,12.076887,5,0
147.955,41.276872,17,0
155.575,39.7176495,74,1
150.495,35.947166,69,0
155.575,50.915702,50,1
154.305,45.756093,44,0
130.6068,25.2594045,15,0
101.6,15.3370795,5,0
157.48,49.214732,18,0
168.91,58.8252125,41,1
150.495,43.4597835,27,0
111.76,17.8318355,8.9,1
160.02,51.9646335,38,1
167.64,50.688906,57,1
144.145,34.246196,64.5,0
145.415,39.3774555,42,0
160.02,59.5622995,24,1
147.32,40.312989,16,1
164.465,52.16308,71,1
153.035,39.972795,49.5,0
149.225,43.941725,33,1
160.02,54.601137,28,0
149.225,45.075705,47,0
85.09,11.453198,3,1
84.455,11.7650425,1,1
59.6138,5.896696,1,0
92.71,12.1052365,3,1
111.125,18.313777,6,0
90.805,11.3681495,5,0
153.67,41.333571,27,0
99.695,16.2442635,5,0
62.484,6.80388,1,0
81.915,11.8784405,2,1
96.52,14.968536,2,0
80.01,9.865626,1,1
150.495,41.900561,55,0
151.765,42.524,83.4,1
140.6398,28.859791,12,1
88.265,12.7856245,2,0
158.115,43.147939,63,1
149.225,40.82328,52,0
151.765,42.864444,49,1
154.94,46.209685,31,0
123.825,20.581737,9,0
104.14,15.87572,6,0
161.29,47.853956,35,1
148.59,42.52425,35,0
97.155,17.066399,7,0
93.345,13.1825175,5,1
160.655,48.5059945,24,1
157.48,45.869491,41,1
167.005,52.900167,32,1
157.48,47.570461,43,1
91.44,12.927372,6,0
60.452,5.6699,1,1
137.16,28.91649,15,1
152.4,43.544832,63,0
152.4,43.431434,21,0
81.28,11.509897,1,1
109.22,11.7083435,2,0
71.12,7.540967,1,1
89.2048,12.700576,3,0
67.31,7.200773,1,0
85.09,12.360382,1,1
69.85,7.7961125,1,0
161.925,53.2120115,55,0
152.4,44.678812,38,0
88.9,12.5588285,3,1
90.17,12.700576,3,1
71.755,7.37087,1,0
83.82,9.2135875,1,0
159.385,47.2019175,28,1
142.24,28.632995,16,0
142.24,31.6663915,36,0
168.91,56.4438545,38,1
123.19,20.014747,12,1
74.93,8.50485,1,1
74.295,8.3064035,1,0
90.805,11.623295,3,0
160.02,55.791816,48,1
67.945,7.9662095,1,0
135.89,27.21552,15,0
158.115,47.4854125,45,1
85.09,10.8011595,3,1
93.345,14.004653,3,0
152.4,45.1607535,38,0
155.575,45.529297,21,0
154.305,48.874538,50,0
156.845,46.5782285,41,1
120.015,20.128145,13,0
114.3,18.14368,8,1
83.82,10.9145575,3,1
156.21,43.885026,30,0
137.16,27.158821,12,1
114.3,19.050864,7,1
93.98,13.834556,4,0
168.275,56.0469615,21,1
147.955,40.086193,38,0
139.7,26.5634815,15,1
157.48,50.802304,19,0
76.2,9.2135875,1,1
66.04,7.5693165,1,1
160.7,46.3,31,1
114.3,19.4194075,8,0
146.05,37.9032815,16,1
161.29,49.3564795,21,1
69.85,7.314171,0,0
133.985,28.1510535,13,1
67.945,7.824462,0,1
150.495,44.111822,50,0
163.195,51.0291,39,1
148.59,40.766581,44,1
148.59,37.5630875,36,0
161.925,51.59609,36,1
153.67,44.8205595,18,0
68.58,8.0229085,0,0
151.13,43.4030845,58,0
163.83,46.719976,58,1
153.035,39.5475525,33,0
151.765,34.7848365,21.5,0
132.08,22.792998,11,1
156.21,39.292407,26,1
140.335,37.4496895,22,0
158.75,48.6760915,28,1
142.875,35.606972,42,0
84.455,9.3836845,2,1
151.9428,43.714929,21,1
161.29,48.19415,19,1
127.9906,29.8520235,13,1
160.9852,50.972401,48,1
144.78,43.998424,46,0
132.08,28.292801,11,1
117.983,20.354941,8,1
160.02,48.19415,25,1
154.94,39.179009,16,1
160.9852,46.6916265,51,1
165.989,56.415505,25,1
157.988,48.591043,28,1
154.94,48.2224995,26,0
97.9932,13.2959155,5,1
64.135,6.6621325,1,0
160.655,47.4854125,54,1
147.32,35.550273,66,0
146.7,36.6,20,0
147.32,48.9595865,25,0
172.9994,51.255896,38,1
158.115,46.5215295,51,1
147.32,36.967748,48,0
124.9934,25.117657,13,1
106.045,16.272613,6,1
165.989,48.647742,27,1
149.86,38.045029,22,0
76.2,8.50485,1,0
161.925,47.286966,60,1
140.0048,28.3495,15,0
66.675,8.1363065,0,0
62.865,7.200773,0,1
163.83,55.394923,43,1
147.955,32.488527,12,1
160.02,54.204244,27,1
154.94,48.477645,30,1
152.4,43.0628905,29,0
62.23,7.257472,0,0
146.05,34.189497,23,0
151.9936,49.951819,30,0
157.48,41.3052215,17,1
55.88,4.8477645,0,0
60.96,6.23689,0,1
151.765,44.338618,41,0
144.78,33.45241,42,0
118.11,16.896302,7,0
78.105,8.221355,3,0
160.655,47.286966,43,1
151.13,46.1246365,35,0
121.92,20.184844,10,0
92.71,12.757275,3,1
153.67,47.400364,75.5,1
147.32,40.8516295,64,0
139.7,50.348712,38,1
157.48,45.132404,24.2,0
91.44,11.623295,4,0
154.94,42.240755,26,1
143.51,41.6454155,19,0
83.185,9.1568885,2,1
158.115,45.2174525,43,1
147.32,51.255896,38,0
123.825,21.205426,10,1
88.9,11.5949455,3,1
160.02,49.271431,23,1
137.16,27.952607,16,0
165.1,51.199197,49,1
154.94,43.8566765,41,0
111.125,17.690088,6,1
153.67,35.5219235,23,0
145.415,34.246196,14,0
141.605,42.88542,43,0
144.78,32.545226,15,0
163.83,46.776675,21,1
161.29,41.8722115,24,1
154.9,38.2,20,1
161.3,43.3,20,1
170.18,53.637254,34,1
149.86,42.977842,29,0
123.825,21.54562,11,1
85.09,11.4248485,3,0
160.655,39.7743485,65,1
154.94,43.3463855,46,0
106.045,15.478827,8,0
126.365,21.9141635,15,1
166.37,52.673371,43,1
148.2852,38.441922,39,0
124.46,19.27766,12,0
89.535,11.113004,3,1
101.6,13.494362,4,0
151.765,42.807745,43,0
148.59,35.890467,70,0
153.67,44.22522,26,0
53.975,4.252425,0,0
146.685,38.0733785,48,0
56.515,5.159609,0,0
100.965,14.3164975,5,1
121.92,23.2182405,8,1
81.5848,10.659412,3,0
154.94,44.111822,44,1
